"metabolite_id","dataset_id","study_name","platform","merge_variable","input_metabolite_name","input_metabid","input_chemical_id","input_comp_id","input_hmdb_id","input_cas","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","Standardized name"
"CHEM100002394",35,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","1-hydroxy-2-naphthalenecarboxylate","_1_hydroxy_2_naphthalenecarbo",100002394,"38140","","86-48-6","6844",NA,"C03203","",NA,"1-Hydroxy-2-naphthoic acid"
"CHEM100002394",44,"Women One-Carbon Metabolism and Inflammation Study","Metabolon","COMP_ID","1-hydroxy-2-naphthalenecarboxylate","m_33",NA,"38140","","","6844",NA,"","",NA,"1-Hydroxy-2-naphthoic acid"
"CHEM100002394",69,"Copenhagen Prospective Study on Asthma in Childhood 2010","Metabolon","COMP_ID","1-hydroxy-2-naphthalenecarboxylate","38140",NA,"38140","","","6844",NA,"","",NA,"1-Hydroxy-2-naphthoic acid"
"CHEM100002406",2,"Prostate Lung Colorectal and Ovarian Cancer Screening Trial","Metabolon","COMP_ID","ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",NA,"38326","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",3,"Cancer Prevention Study II","Metabolon","COMP_ID","ibuprofen acyl glucuronide","ibuprofen acyl glucuronide",NA,"X38366","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",5,"Cancer Prevention Study II","Metabolon","COMP_ID","ibuprofen acyl glucuronide","ibuprofen acyl glucuronide",NA,"X38366","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",6,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",NA,"","","","",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",NA,"","","","",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",9,"Shanghai Physical Activity Study","Metabolon","COMP_ID","Ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",NA,"38326;38366;45472","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",11,"Shanghai Women's Health Study","Metabolon","CORE_FILE_NAME","Ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",NA,"","","","",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",24,"Born in Bradford","Metabolon","CHEMICAL_ID","ibuprofen acyl glucuronide","metmss38366",100002406,"38366","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",30,"Airwave Health Monitoring Study","Metabolon","CHEMICAL_ID","ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",100002406,"38366","","115075-59-7","163959",143793,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",100002406,"38326","","115075-59-7;","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",34,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",100002406,"38326","","115075-59-7;","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",35,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","ibuprofen acyl glucuronide","ibuprofen_acyl_glucuronide",100002406,"38326","","115075-59-7","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",44,"Women One-Carbon Metabolism and Inflammation Study","Metabolon","COMP_ID","ibuprofen acyl glucuronide","m_309",NA,"38326","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",59,"Breast Cancer Family Registry","Metabolon","COMP_ID","ibuprofen acyl glucuronide","ibuprofen acyl glucuronide",NA,"38366","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002406",69,"Copenhagen Prospective Study on Asthma in Childhood 2010","Metabolon","COMP_ID","ibuprofen acyl glucuronide","38366",NA,"38366","","","163959",NA,"","",NA,"Ibuprofen glucuronide"
"CHEM100002445",5,"Cancer Prevention Study II","Metabolon","COMP_ID","18-hydroxycorticosterone","_18-hydroxycorticosterone",NA,"X39833","","","",NA,"","",NA,"18-Hydroxycorticosterone"
"CHEM100002454",2,"Prostate Lung Colorectal and Ovarian Cancer Screening Trial","Metabolon","COMP_ID","allopurinol riboside","allopurinol_riboside",NA,"38321","","","",NA,"","",NA,"Allopurinol riboside"
"CHEM100002454",3,"Cancer Prevention Study II","Metabolon","COMP_ID","allopurinol riboside","allopurinol riboside",NA,"X38321","","","",NA,"","",NA,"Allopurinol riboside"
"CHEM100002454",5,"Cancer Prevention Study II","Metabolon","COMP_ID","allopurinol riboside","allopurinol riboside",NA,"X38321","","","",NA,"","",NA,"Allopurinol riboside"
"CHEM100002454",35,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","allopurinol riboside","allopurinol_riboside",100002454,"38321","","16220-07-8","",NA,"","",NA,"Allopurinol riboside"
"CHEM100002454",44,"Women One-Carbon Metabolism and Inflammation Study","Metabolon","COMP_ID","allopurinol riboside","m_160",NA,"38321","","","",NA,"","",NA,"Allopurinol riboside"
"CHEM100002462",3,"Cancer Prevention Study II","Metabolon","COMP_ID","5-(galactosylhydroxy)-L-lysine","_5-(galactosylhydroxy)-l-lysine",NA,"X43582","","","",NA,"","",NA,"5-(Galactosylhydroxy)-lysine"
"CHEM100002462",5,"Cancer Prevention Study II","Metabolon","COMP_ID","5-(galactosylhydroxy)-L-lysine","_5-(galactosylhydroxy)-l-lysine",NA,"X43582","","","",NA,"","",NA,"5-(Galactosylhydroxy)-lysine"
"CHEM100002462",21,"Well for life China","Metabolon","COMP_ID","5-(galactosylhydroxy)-L-lysine","5-(galactosylhydroxy)-l-lysine",NA,"43582","","","",NA,"","",NA,"5-(Galactosylhydroxy)-lysine"
"CHEM100002462",24,"Born in Bradford","Metabolon","CHEMICAL_ID","5-(galactosylhydroxy)-L-lysine","metmss43582",100002462,"43582","","","",NA,"","",NA,"5-(Galactosylhydroxy)-lysine"
"CHEM100002462",30,"Airwave Health Monitoring Study","Metabolon","CHEMICAL_ID","5-(galactosylhydroxy)-L-lysine","5__galactosylhydroxy__l_lysine",100002462,"43582","","32448-36-5","",NA,"","",NA,"5-(Galactosylhydroxy)-lysine"
"CHEM100002462",69,"Copenhagen Prospective Study on Asthma in Childhood 2010","Metabolon","COMP_ID","5-(galactosylhydroxy)-L-lysine","43582",NA,"43582","","","123986",NA,"","",NA,"5-(Galactosylhydroxy)-lysine"
"CHEM100002700",7,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","alanylphenylalanine","alanylphenylalanine",NA,"","","","",NA,"","",NA,"Ala-Phe"
"CHEM100002700",8,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CORE_FILE_NAME","alanylphenylalanine","alanylphenylalanine",NA,"","","","",NA,"","",NA,"Ala-Phe"
"CHEM100002700",33,"Alpha-Tocopherol Beta-Carotene Cancer Prevention Study","Metabolon","CHEMICAL_ID","alanylphenylalanine","alanylphenylalanine",100002700,"38679","","3061-90-3;","2080",NA,"","",NA,"Ala-Phe"
"CHEM100002781",2,"Prostate Lung Colorectal and Ovarian Cancer Screening Trial","Metabolon","COMP_ID","11-dehydrocorticosterone","_11_dehydrocorticosterone",NA,"39779","","","",NA,"","",NA,"11-Dehydrocorticosterone"
